irmode,phase,test,duration,was_cached
numba-cache,0,numba.tests.doc_examples.test_parallel_chunksize.ChunksizeExamplesTest.test_chunksize_manual,0.02645162584932139,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_analysis.TestBranchPrune.test_single_if_const_val,0.041662373747385524,"[0, 0, 0, 0]"
numba-cache,0,numba.tests.test_analysis.TestBranchPrune.test_single_if_else,0.03561433770082653,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_analysis.TestBranchPrunePostSemanticConstRewrites.test_attr_not_len,0.0572979999997187,[0]
numba-cache,0,numba.tests.test_array_manipulation.TestArrayManipulation.test_broadcast_to_raises,0.03266538581771203,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_array_methods.TestArrayMethods.test_fill,0.03915710291392833,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_array_reductions.TestArrayReductions.test_array_mean_int32_1d,0.06381817279616368,"[0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_array_reductions.TestArrayReductions.test_array_nanmean_int32_1d,0.04773718162687145,"[0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_array_reductions.TestArrayReductions.test_array_var_global_int32_3d,0.05295581061084071,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_array_return.TestArrayReturn.test_array_return,0.08697800450318025,"[0, 0]"
numba-cache,0,numba.tests.test_builtins.TestBuiltins.test_max_empty_tuple,0.0682623900065664,[0]
numba-cache,0,numba.tests.test_builtins.TestBuiltins.test_min_unary_non_iterable_npm,0.0996600430080434,[0]
numba-cache,0,numba.tests.test_dataflow.TestDataFlow.test_var_swapping,0.06353472000046165,"[0, 1]"
numba-cache,0,numba.tests.test_dictobject.TestDictIterableCtorJit.test_exception_setitem,0.0655145479977363,[0]
numba-cache,0,numba.tests.test_dyn_array.TestNdOnes.test_1d_dtype_str_alternative_spelling,0.04430581927752224,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_flow_control.TestFlowControl.test_for_loop2,0.062128068508172804,"[0, 1]"
numba-cache,0,numba.tests.test_function_type.TestFunctionType.test_in_choose_out,0.011043099567177658,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
numba-cache,0,numba.tests.test_function_type.TestMiscIssues.test_function_with_none_argument,0.0524046389909926,[0]
numba-cache,0,numba.tests.test_indexing.TestGetItem.test_3d_slicing,0.10951138012023873,"[0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_interpreter.TestLargeConstDict.test_large_const_dict_inline_controlflow,0.0699268629978178,[0]
numba-cache,0,numba.tests.test_iteration.IterationTest.test_float_tuple_iter,0.08981138699891741,"[0, 0]"
numba-cache,0,numba.tests.test_listobject.TestImmutable.test_append_fails,0.027592982949021152,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_listobject.TestListObjectDelitem.test_list_multiple_delitem_slice,0.023625186415922973,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
numba-cache,0,numba.tests.test_mixed_tuple_unroller.TestConstListUnroll.test_14,0.0178548187977867,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
